	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	32	34	21	46	160	24	1	39	17	30	5	29	13	4
100134869	26	32	24	80	92	25	3	18	12	14	8	34	10	14
10357	522	258	378	1420	3551	330	103	296	191	465	221	182	216	369
10431	1832	1459	2633	2478	3464	2847	1923	2241	2980	3295	2739	2956	2984	2094
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	384	621	256	529	529	734	188	338	707	227	265	253	509	174
26823	0	1	1	4	1	0	0	0	1	0	0	1	1	1
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	2	0	6	6	0	0	0	0	0	0	2	1	0
388795	2	2	1	6	0	7	1	2	6	3	1	1	2	1
390284	15	4	18	27	11	22	14	16	24	17	11	14	9	13
391343	0	0	2	0	0	0	0	0	3	1	0	1	5	0
391714	1	1	0	0	0	0	0	0	0	1	0	1	0	2
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	1	1	2	0	1	5	11	0	30	4	138	11	0	6
57714	1824	937	2983	1914	511	581	1346	2548	2037	1621	2817	3243	3828	3563
645851	16	22	24	33	35	8	5	13	25	14	9	43	25	22
652919	11	0	162	48	88	0	57	153	36	0	152	0	11	27
653553	191	97	582	226	217	645	299	1502	1087	911	351	686	868	1739
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	27	0	0	0	0	0	0	0	0	0
728788	0	8	2	1	3	0	0	1	0	0	1	0	0	1
729884	141	0	62	0	14	33	12	12	5	4	20	24	8	24
8225	901	871	1572	1913	1050	1736	1112	1905	924	1447	979	820	1443	1069
90288	20	11	84	236	23	456	46	54	295	305	46	50	325	13
A1BG	101	109	974	1084	275	761	2274	273	469	586	499	430	436	620
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2BP1	0	10	1	0	0	1	0	0	12	0	1	1	2	0
A2LD1	176	84	325	377	1282	377	115	212	321	216	361	202	180	358
A2ML1	2340	7	1	84	79	8	5	0	5	3	4	23	17	2
A2M	14384	70204	28387	15143	13296	36377	27404	35464	34647	47795	38759	71922	33358	60454
A4GALT	2126	749	947	137	253	1030	218	1819	1721	809	965	1140	909	1833
A4GNT	6	2	4	4	2	2	0	0	2	0	3	2	5	0
AAA1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1981	1580	1302	2122	3221	2347	1341	1981	1997	1934	1451	1594	2117	1386
AACSL	0	1821	0	3	1	0	0	1	0	1	1	1	0	6
AACS	2388	4848	4279	1875	7684	1034	3244	2523	4781	2526	2271	2372	3209	2338
AADACL2	0	0	0	0	22	0	0	0	0	0	0	0	2	0
AADACL3	0	0	0	5	0	0	0	2	0	0	0	0	0	0
AADACL4	0	0	0	1	1	0	0	0	0	0	1	0	0	0
AADAC	2	0	0	3	0	0	0	1	1	1	0	0	3	6
AADAT	978	445	106	2969	1351	43	12	192	83	88	255	120	93	161
AAGAB	3939	1884	5889	5103	6218	2351	2931	6943	7503	5011	3748	5901	3857	4326
AAK1	1602	2327	4432	2503	1622	1548	1489	4049	1214	3079	3292	3341	3464	1906
AAMP	6575	4880	7184	7503	4937	6888	8134	5374	8992	8634	6606	7242	8026	6968
AANAT	0	4	3	0	0	1	0	1	0	2	0	1	0	1
AARS2	1155	1139	986	3587	1114	959	921	1333	685	1312	992	1406	1597	500
AARSD1	1342	1481	869	1357	1339	1526	1239	848	1579	1490	1368	1099	881	793
AARS	18032	7661	6133	9811	9064	4621	11061	6965	5682	7932	7517	6601	9574	14681
AASDHPPT	1813	2191	1897	9582	5095	2197	1091	2883	3325	1778	1582	1877	2475	9547
AASDH	790	853	547	1584	859	619	566	503	770	1236	985	1008	731	741
AASS	104	919	624	855	158	446	479	344	176	780	925	998	571	547
AATF	3252	2041	3969	4915	5440	3433	3538	4517	2678	4521	3625	4008	2553	5257
AATK	55	274	2192	521	190	152	192	33	70	322	174	222	95	293
ABAT	133	1009	7293	616	184	2415	3545	3763	17090	6098	2660	2732	3612	5229
ABCA10	16	25	35	15	4	58	18	112	24	66	44	69	49	28
ABCA11P	872	391	285	190	306	247	431	172	234	291	235	194	244	284
ABCA12	658	25	874	3	4867	34	32	4691	2676	459	613	303	10184	60
ABCA13	177	3489	7	48	2	9	4	1	2	4	9	3	2	30
ABCA17P	184	16	8	517	91	21	78	158	66	38	19	19	58	41
ABCA1	1435	1392	2171	1172	2646	1326	3072	5499	1785	2699	3062	4981	3350	2132
ABCA2	3942	3710	2960	1868	3508	2353	2998	7779	4714	4390	2317	3510	3959	3698
ABCA3	4573	1998	5619	5348	2466	4133	8285	6319	28164	7893	4066	5894	5855	5079
ABCA4	7	8	613	2	2	80	14	14	487	41	193	483	89	406
ABCA5	204	642	1012	707	907	350	1107	5624	97	672	1015	1214	392	1907
ABCA6	448	81	266	38	10	305	100	402	338	356	535	464	469	510
ABCA7	823	303	693	673	203	609	666	564	952	993	449	415	1606	384
ABCA8	115	271	31	37	4	181	290	131	240	243	222	608	786	1193
ABCA9	37	120	114	25	3	301	48	183	223	458	332	289	259	376
ABCB10	978	795	2388	2426	690	1485	1004	1728	866	1738	1650	1549	2016	2505
ABCB11	1	1	0	0	8	2	2	0	4	0	4	4	6	3
ABCB1	114	29	201	57	7	326	205	274	229	658	241	545	247	391
ABCB4	23	15	113	56	177	36	144	106	81	41	124	126	100	49
ABCB5	29	3	2	2	1	9	9	12	26	18	5	28	12	6
ABCB6	679	1208	1468	2450	315	886	1686	1142	1201	1697	1410	1633	1478	1182
ABCB7	1231	1338	1365	1113	2285	894	1193	985	957	1631	1034	1357	1559	1116
ABCB8	924	655	2621	1533	1312	2416	2313	1575	2702	2123	2122	2110	3044	1249
ABCB9	301	365	439	622	2290	308	849	1447	710	285	384	759	1062	245
ABCC10	1408	1193	842	2318	859	923	923	1054	1274	1264	1156	1060	1056	716
ABCC11	5	32	7690	2	2	5196	1248	1132	17755	3326	27039	3803	2061	457
ABCC12	5	1	844	0	14	66	9	19	102	3	100	57	3	3
ABCC13	0	0	82	0	0	32	0	150	83	10	0	2	35	5
ABCC1	7191	3760	3755	11036	3600	2699	1731	4706	5438	4341	3912	3515	4387	5836
ABCC2	5	15	24	17	13	27	1	38	18	6	39	248	12	16
ABCC3	606	32	1369	62	75	1512	404	698	1063	1281	1793	1986	1469	1023
ABCC4	2359	191	963	548	2409	226	217	934	314	323	1022	510	495	360
ABCC5	2833	2222	2457	2690	2502	2093	829	6106	832	934	3791	9669	3870	1047
ABCC6P1	0	0	2	9	14	9	0	22	38	30	1	7	63	0
ABCC6P2	11	2	10	8	17	141	14	225	109	94	19	38	197	15
ABCC6	12	16	43	16	49	169	15	863	584	254	65	110	419	77
ABCC8	25	0	1002	3	831	434	640	4	141	1581	741	922	114	68
ABCC9	324	93	662	322	221	407	447	622	468	763	566	1108	742	1199
ABCD1	505	449	1028	1832	682	733	1298	1493	1307	717	1781	944	2090	3536
ABCD2	44	12	12	13	4	59	25	78	20	35	29	49	78	82
ABCD3	4669	5713	8264	4327	4091	3340	23211	5178	9188	13050	11439	7420	5488	7978
ABCD4	679	763	945	828	1487	1133	647	1014	1689	1549	1120	1384	1256	893
ABCE1	8441	4718	4862	7939	9922	3685	4691	3970	3216	4823	3834	4933	3522	5555
ABCF1	6408	4475	4265	12732	8206	3305	5085	7449	2703	5151	5307	5200	5653	3513
ABCF2	7049	3235	3767	1021	4524	3625	3287	3249	3728	4195	3823	3952	4541	3226
ABCF3	4501	2334	3347	4298	1570	2503	3992	3864	3457	3000	4598	3587	5015	2933
ABCG1	1151	9939	1378	2859	4856	1865	4427	3826	4006	2553	1777	10006	5071	3633
ABCG2	111	216	301	35	80	253	197	137	114	491	260	486	226	124
ABCG4	3	0	13	5	20	0	6	16	5	5	8	8	12	4
ABCG5	4	3	1	8	11	1	1	8	8	2	6	11	0	0
ABCG8	3	0	0	9	4	0	0	0	0	0	0	2	3	0
ABHD10	2185	1322	1627	2648	1905	1325	1982	1437	1290	1961	1374	2023	2676	1219
ABHD11	3321	1118	6880	1986	713	5665	1299	2996	5523	1929	1547	2700	2398	3671
ABHD12B	59	52	189	0	6	349	667	0	3	227	6	18	165	2
ABHD12	4201	3137	5292	5680	5418	3946	6395	6597	5361	2647	2694	6890	5624	5160
ABHD13	1081	1336	1731	2377	2984	1011	619	1316	1104	1275	1557	1374	1229	1379
ABHD14A	285	424	1117	530	267	611	512	437	803	786	389	755	652	548
ABHD14B	1358	4419	2987	1401	544	3867	4546	2211	7020	7293	3428	3490	4834	3794
ABHD15	526	442	627	1405	207	685	1132	1131	1556	914	1453	1277	1126	2161
ABHD1	12	26	37	332	7	33	82	3	41	67	8	75	41	19
ABHD2	6317	6445	12853	18608	25409	83784	89732	34849	9010	20955	13621	25419	8851	9836
ABHD3	1804	157	2105	1053	1621	1487	842	1424	819	1053	511	852	1917	2154
ABHD4	774	890	2200	4807	956	1515	1722	3183	2583	2679	3610	4157	5088	3881
ABHD5	1664	2019	3868	6809	1254	990	1418	2932	1858	2387	3373	2872	2961	2532
ABHD6	327	146	349	389	123	184	421	391	263	257	194	432	893	344
ABHD8	184	554	931	986	1024	984	1164	766	736	838	765	631	1147	597
ABI1	2914	3479	4679	7312	3788	3692	2976	4445	4024	6433	4156	4888	4927	4763
ABI2	8269	5637	6398	7958	14353	2522	3422	3230	3058	4402	4145	5765	4291	3708
ABI3BP	449	327	258	768	123	1576	641	1341	1165	1322	1289	1568	2175	2165
ABI3	561	103	623	140	117	406	387	602	408	369	436	603	613	376
ABL1	5431	7072	5695	9282	9493	5404	4912	7958	6280	8571	9778	7616	10450	4300
ABL2	3412	2620	5780	3806	2696	2405	2912	4140	2589	5060	4123	3684	5172	2790
ABLIM1	6450	6589	7944	10639	7344	4470	3752	6980	4156	9327	6349	6340	12222	7085
ABLIM2	840	63	411	117	601	186	395	135	807	221	41	406	138	462
ABLIM3	184	200	2097	86	96	2675	4038	1067	1821	2607	1833	1884	1344	1840
ABO	4	16	10	7	51	23	10	4	16	7	21	40	207	19
ABP1	150	1	3478	1	34	25	0	48	11	210	10	1135	23	462
ABRA	3	1	2	0	1	0	0	0	1	0	0	1	0	2
ABR	5362	3776	7352	1157	14539	3961	3304	12221	5969	3525	4708	4882	5376	4213
ABT1	1506	1259	1291	3840	1896	1474	1396	1618	1553	1517	1350	1510	1771	1235
ABTB1	952	500	1615	553	459	998	1455	1066	662	957	952	1681	1142	1091
ABTB2	1597	1595	350	1274	2030	185	44	253	469	184	252	458	231	595
ACAA1	2456	1592	3776	3337	963	3022	4543	3600	6326	3098	3065	3477	4782	3003
ACAA2	4388	2924	4902	5191	6715	2615	3205	2837	1260	3258	2073	2404	2865	4431
ACACA	4897	3428	8686	11676	6474	7164	11360	6125	6549	9791	20112	7109	4632	5571
ACACB	1457	670	524	875	1255	1523	3026	449	619	834	953	2697	932	3859
ACAD10	1435	1170	803	1892	1544	716	625	1599	1920	1125	1265	1186	1645	924
ACAD11	425	819	877	808	744	451	366	342	507	715	811	854	1023	289
ACAD8	946	1199	892	726	1361	871	581	1208	1259	871	747	1024	1555	860
ACAD9	3498	1849	2178	4914	3467	1919	2194	2800	2841	2072	2475	2670	4629	1963
ACADL	12	16	3	738	11	10	2	2	8	7	4	296	6	49
ACADM	4561	2265	4001	4374	6184	1503	3315	1752	2319	3275	2461	3210	3548	3036
ACADSB	1778	2222	3705	2525	6847	3102	4751	4516	4876	5349	5917	11272	3152	5166
ACADS	583	670	898	791	517	999	1445	870	1090	944	887	761	682	789
ACADVL	7288	11966	19710	4720	3663	6358	3727	6143	16120	6576	6396	6211	5979	11590
ACAN	115	97	189	69	74	28	151	147	137	67	152	426	87	59
ACAP1	297	18	103	58	13	435	33	492	420	165	99	152	542	176
ACAP2	3237	2639	3760	4662	3701	1984	2923	4346	2879	3640	5222	5473	6787	3317
ACAP3	1175	690	2347	1060	1524	855	1980	1203	2177	1568	1039	1038	3576	1485
ACAT1	1710	1849	2309	6552	4033	1676	2018	2387	1822	3073	2574	3149	2936	6105
ACAT2	3755	863	2506	1086	5673	835	2475	1589	1337	1365	1023	1777	2705	2856
ACBD3	4550	3201	11351	6071	2720	3660	4988	10675	3475	8829	6937	5521	7871	6272
ACBD4	136	407	197	376	178	655	797	189	1207	790	647	717	437	931
ACBD5	950	1167	2221	5765	1715	1881	2515	1797	1978	3576	1796	3241	2196	4735
ACBD6	1441	1048	2986	1965	1539	1429	1548	1589	1136	2276	1659	1326	2274	1493
ACBD7	142	408	172	3160	2314	71	45	70	118	44	20	77	285	232
ACCN1	9	9	10	0	417	359	3	21	0	6	2	26	2	28
ACCN2	159	443	629	1333	118	239	469	570	62	376	247	557	215	73
ACCN3	16	16	253	34	36	15	282	7	54	119	12	17	67	7
ACCN4	0	2	7	7	1	2	2	5	1	4	2	0	7	2
ACCN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ACCS	273	692	260	252	182	333	298	222	355	480	202	272	273	351
ACD	2113	1090	753	1341	1317	825	1063	998	720	801	612	702	866	1388
ACE2	22	21	5	28	10	12	2	5	1	6	1	6	71	11
ACER1	0	2	1	0	0	5	0	1	6	1	0	5	6	0
ACER2	100	131	601	148	203	96	726	519	544	627	647	1018	545	324
ACER3	1559	588	22199	4855	2412	272	7934	2651	231	544	752	1088	733	5011
ACE	1194	158	1141	695	848	647	857	4033	587	946	1837	1613	2577	713
ACHE	28	50	15	109	158	46	16	89	46	40	10	35	24	32
ACIN1	7066	7209	6624	10241	10089	6347	5358	10014	7299	9336	6323	8068	10186	4556
ACLY	12308	6346	13410	27326	14480	10668	26623	13338	13856	14806	19232	13418	14239	10568
ACMSD	0	1	112	0	0	8	41	0	44	11	0	5	0	2
ACN9	1012	412	420	1716	966	295	37	54	172	343	315	183	132	167
ACO1	2833	1472	4709	2897	2711	2260	4115	3133	2915	2695	4322	3401	3854	5079
ACO2	13149	5357	5261	10304	5511	7372	8744	6944	8418	8419	6116	4892	10825	6361
ACOT11	820	82	157	76	179	75	125	54	66	76	37	103	115	233
ACOT12	0	1	0	0	0	0	1	2	0	0	0	0	0	0
ACOT13	1536	991	1895	3305	1332	1098	1410	1762	1069	1526	1278	1735	1515	1626
ACOT1	1134	717	1121	1022	798	2097	2990	1597	5023	2553	1541	2117	2582	838
ACOT2	1027	549	894	967	676	1068	1593	972	3384	1902	1205	1417	1724	790
ACOT4	193	51	1017	186	255	964	2154	1071	2781	1352	1272	1100	1097	842
ACOT6	3	3	7	1	0	16	12	3	97	7	30	14	9	5
ACOT7	3698	771	1831	3365	3975	678	1833	1276	1025	1353	566	1107	2146	2460
ACOT8	1256	432	881	710	1261	885	862	1104	621	583	529	1218	1218	1170
ACOT9	1655	1036	2151	4693	702	754	867	860	766	1036	1675	826	1928	1385
ACOX1	3283	3782	10482	12242	2094	2451	4974	3231	3379	3680	4596	4192	4304	3470
ACOX2	50	69	1985	38	19	212	23	4169	445	1408	84	298	1103	556
ACOX3	1428	975	564	926	674	3046	3237	1215	1561	2726	1734	2942	3280	2090
ACOXL	14	4	4	7	101	8	2	11	3	1	2	3	7	5
ACP1	7654	3305	5571	12952	9628	3829	2919	3493	4421	4570	3693	4834	4174	4102
ACP2	2877	1560	3562	3282	1844	2212	2587	5522	3621	3087	3665	4146	3934	1950
ACP5	5010	178	2742	1340	1033	1624	5470	6013	2273	2235	2451	3127	3281	1047
ACP6	599	486	2987	1045	504	811	596	703	757	909	472	1057	701	338
ACPL2	1627	975	3067	6323	2546	1534	907	2067	1666	1592	2187	1155	2750	1108
ACPP	19	13	13	27	57	33	16	75	8	41	77	50	354	90
ACPT	0	0	0	2	2	0	0	6	0	0	0	0	0	1
ACRBP	103	23	74	52	100	46	45	66	65	66	41	48	62	21
ACRC	29	28	34	22	36	34	15	16	8	15	14	38	14	19
ACRV1	10	10	1	20	65	2	1	7	1	0	0	3	3	11
ACR	13	37	4	16	16	8	3	14	13	3	1	19	10	11
ACSBG1	9	16	13	1	52	11	19	3	7	9	13	14	9	14
ACSBG2	2	6	2	4	2	4	0	3	7	6	3	3	6	1
ACSF2	610	1039	1539	815	433	3369	1073	1352	6277	3445	2201	2574	2100	3161
ACSF3	1294	918	499	136	1272	777	992	988	1265	778	671	725	1203	550
ACSL1	8929	1786	18080	1353	6664	5959	8118	3397	1409	2345	5171	6508	7667	12404
ACSL3	5775	15174	15426	20555	4168	8508	21989	11142	8946	17917	21701	37144	11378	7587
ACSL4	3319	2440	2981	1641	9367	1368	901	2132	1398	1896	3280	2755	3070	1743
ACSL5	618	1383	371	241	858	722	423	926	735	712	406	1174	4110	595
ACSL6	101	3	63	3	267	18	227	39	46	124	132	60	18	14
ACSM1	99	27	42	21	6	181	22	16	696	438	20	60	122	183
ACSM2A	0	0	1	0	0	0	0	0	1	1	0	7	0	1
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	3	0	1
ACSM3	79	519	46	538	26	126	69	72	160	195	80	101	186	94
ACSM4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	15	14	88	5	3	24	40	98	130	102	56	56	21	121
ACSS1	4748	2144	1513	1211	9704	5617	2859	12791	1884	1959	813	4400	2728	877
ACSS2	2083	1924	2031	4356	2366	2447	2064	2375	2736	2777	2578	2801	2621	2703
ACSS3	343	831	883	196	81	120	1893	1195	1279	742	539	1032	1511	1652
ACTA1	6	6	93	10	5	22	20	14	30	19	16	583	66	67
ACTA2	10180	77147	20125	2560	5776	24933	9826	13765	14914	32887	35784	39292	30372	21583
ACTBL2	13	28	5	0	0	0	1	8	3	9	15	3	8	6
ACTB	287630	217425	357277	305770	133617	295146	113255	305298	263133	259799	369604	241553	385512	230652
ACTC1	8	343	11	5	5	1	4	3	1	4	5	24	6	5
ACTG1	301250	229128	612114	250664	167214	223905	135997	201159	172121	214599	215624	227734	187282	218444
ACTG2	909	13702	666	5035	109	1476	620	222	510	1362	1327	8197	1170	2871
ACTL6A	7571	2535	3248	11812	9049	2893	2857	4545	2607	3866	4114	2884	8592	4553
ACTL6B	0	0	1	0	2060	0	0	0	0	0	0	0	0	0
ACTL7A	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ACTL8	86	0	27	6135	214	5	1	1	5	2	0	2	1	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	22647	21930	23062	9699	9376	14714	8283	15647	14262	24824	28621	27954	28865	14086
ACTN2	14	2	3165	30	15	12	0	3	2	26	9	9	126	1
ACTN3	6	0	5	0	7	4	3	2	2	10	2	4	6	4
ACTN4	47186	46665	23625	87106	24796	27419	87609	25498	35929	32936	27427	38395	42375	34097
ACTR10	1858	2050	3711	3907	4351	2356	2434	2755	2761	2584	2716	3574	3177	3845
ACTR1A	5005	4831	8894	15927	8051	7619	5871	7028	8810	8806	10568	8411	10409	6890
ACTR1B	3553	3010	2742	2467	3244	2606	3397	3461	4179	3163	3192	3624	4647	2230
ACTR2	18187	9656	24086	45211	16032	12055	15572	28268	19699	19499	23853	21670	27223	19669
ACTR3B	2037	1968	419	156	2968	626	377	352	393	601	339	558	495	292
ACTR3C	186	74	184	58	153	95	45	94	125	100	126	99	100	57
ACTR3	13221	6882	16545	21338	13736	7809	6811	13025	8124	9813	12111	12073	19896	11006
ACTR5	785	369	893	1077	627	599	547	587	570	549	480	733	879	1606
ACTR6	1725	1243	1237	3053	4524	802	1310	1778	1274	1699	925	1840	2413	1431
ACTR8	1031	1507	1538	1926	1340	706	989	1548	1225	2037	1011	1339	1681	1693
ACTRT1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	2728	4209	3209	2520	10169	4670	3764	4268	2913	4794	2821	4005	4856	4117
ACVR1C	90	5	12	22	36	73	53	15	42	19	11	189	26	303
ACVR1	1866	2688	4009	1628	1166	1834	1165	2376	2154	3048	4244	3312	4214	2504
ACVR2A	780	2873	762	1874	1176	1092	1180	769	616	1079	1839	1311	1924	1026
ACVR2B	1113	1068	829	4136	4751	692	856	1128	756	1433	818	1393	518	1750
ACVRL1	1068	500	1163	472	528	1071	884	1473	1045	1312	1119	1702	1594	1198
ACY1	1146	1503	2372	2209	484	1645	2968	1774	4002	2538	1016	2144	1562	2013
ACY3	20	12	8	2	4	7	1	110	8	6	4	23	126	14
ACYP1	326	111	171	293	1086	177	166	167	114	179	42	93	411	165
ACYP2	578	301	280	310	268	217	393	130	173	198	154	193	357	358
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	4	4	1	0	81	2	2	2	2	5	3	3	4	12
ADAL	449	482	454	591	364	254	880	286	828	479	443	572	522	383
ADAM10	3262	3695	5581	3783	2951	2727	6164	7086	4013	4996	13992	15682	5834	7497
ADAM11	36	59	19	366	378	11	5	12	8	21	9	14	16	64
ADAM12	2331	418	11796	1415	1465	3161	949	15842	6500	10540	45078	6310	32790	5052
ADAM15	11210	3867	22144	8814	6318	8848	7441	17647	8464	17152	6721	9977	43195	6725
ADAM17	3623	1807	2714	9949	3383	1337	1132	2339	2010	2140	2342	2641	2705	1755
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	1901	50	2949	1267	1191	433	694	2323	1168	933	2292	1572	2487	1201
ADAM20	2	1	5	0	8	3	2	5	1	6	0	5	3	0
ADAM21P1	14	7	3	0	2	11	7	7	6	11	1	4	9	2
ADAM21	77	13	22	3	4	18	19	22	47	43	10	39	35	7
ADAM22	637	107	107	508	699	248	131	344	143	184	169	161	173	272
ADAM23	31	26	48	13	150	28	7	189	226	126	262	127	178	119
ADAM28	213	135	373	67	31	131	312	402	309	178	255	231	327	217
ADAM29	1	2	4	1	8	4	13	0	12	2	1	1	2	167
ADAM2	0	0	0	0	0	0	1	0	0	0	0	0	2	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	33	268	42	149	148	25	53	59	20	126	68	16	31	97
ADAM33	42	26	153	11	20	380	36	134	281	253	523	234	537	115
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	101324	2474	8632	45469	16821	185755	32828	15034	18643	76189	37144	66389	180878	106776
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	1744	45	1352	416	505	589	848	2150	793	165	310	584	4706	247
ADAM9	4972	3096	5582	3204	3035	4181	6183	5857	10164	10175	17852	7443	5152	12816
ADAMDEC1	529	3	40	77	252	77	6	285	149	35	54	219	223	148
ADAMTS10	90	290	383	162	187	161	65	303	216	247	657	446	713	155
ADAMTS12	250	152	1742	158	550	285	479	3459	1222	2066	4206	1162	3015	1081
ADAMTS13	176	233	96	44	111	180	50	54	387	215	115	162	137	109
ADAMTS14	126	8	938	54	429	16	33	1184	625	352	786	317	842	143
ADAMTS15	34	38	432	121	126	508	681	2790	3293	1846	262	320	743	192
ADAMTS16	929	917	390	56	658	57	20	1169	914	877	2903	736	4085	223
ADAMTS17	218	3787	350	509	2574	664	23	371	279	229	436	371	561	131
ADAMTS18	142	251	13	56	622	32	9	617	18	50	275	155	696	22
ADAMTS19	1	84	0	737	8	5	154	450	200	68	1	76	35	96
ADAMTS1	14788	3360	1678	3399	571	2921	2121	1660	1408	1693	2298	5012	1821	5325
ADAMTS20	1	0	1	1	3	0	0	1	0	7	45	11	30	0
ADAMTS2	937	662	4018	485	2377	941	373	5479	2236	2064	7763	1432	10060	1300
ADAMTS3	184	283	120	151	170	61	31	82	71	118	163	116	200	125
ADAMTS4	1657	353	1970	1944	1086	543	961	1417	1399	1500	2571	2574	6461	1802
ADAMTS5	6042	475	1029	364	603	388	528	721	339	1386	3124	1382	2496	771
ADAMTS6	46	12	282	60	224	51	46	267	174	208	622	391	529	126
ADAMTS7	386	1074	1051	2039	524	162	231	786	590	385	1081	621	1023	328
ADAMTS8	8	18	3	3	54	94	33	9	384	80	69	93	23	41
ADAMTS9	1106	5094	629	598	396	642	778	563	672	888	588	1381	1042	970
ADAMTSL1	126	323	593	150	55	121	396	299	339	356	448	1038	215	301
ADAMTSL2	154	45	1731	48	1718	261	219	458	428	522	2200	667	2476	550
ADAMTSL3	177	1362	464	900	1208	155	299	414	492	261	727	1425	1775	724
ADAMTSL4	1097	605	426	132	38	325	251	604	506	663	301	916	951	349
ADAMTSL5	30	6	569	10	7	152	66	187	914	381	237	61	415	74
ADAP1	1254	63	632	18	1840	165	654	1580	1010	419	155	169	632	1289
ADAP2	584	135	1298	325	270	298	553	1004	464	361	797	912	995	250
ADARB1	839	1594	1914	598	2311	1303	655	1509	1427	1303	2862	2133	2043	1767
ADARB2	3	86	10	2	271	4	1	27	9	13	3	35	14	14
ADAR	23642	15692	63072	50144	27343	18830	32142	54244	23697	40410	26381	61039	49296	21744
ADAT1	908	1019	446	1178	666	399	1224	1203	779	722	829	798	1104	1089
ADAT2	700	406	128	627	456	144	86	89	136	156	111	263	162	103
ADAT3	184	104	196	127	71	192	101	126	206	179	129	49	200	57
ADA	661	39	335	876	241	186	65	405	258	515	306	337	459	267
ADCK1	394	428	506	348	239	484	266	470	336	413	634	498	634	261
ADCK2	3175	1502	1995	2422	2944	2639	2277	2707	3292	3383	3546	2793	3323	2799
ADCK4	1608	1405	1361	2619	1464	2042	3172	1871	1597	1996	1234	1461	2009	1548
ADCK5	433	198	426	164	676	515	421	543	958	295	328	342	634	466
ADCY10	2	8	4	0	1	22	2	5	9	31	2	30	10	20
ADCY1	1028	228	244	1836	2228	5160	1520	5142	9482	8094	423	1258	1003	1203
ADCY2	82	173	1463	264	265	641	9	342	3612	265	260	470	815	44
ADCY3	2764	1864	2338	3742	3272	1814	2575	2584	1310	3453	1912	2468	3345	2806
ADCY4	241	131	366	108	164	312	307	358	331	447	203	818	320	550
ADCY5	34	227	383	8	23	1055	304	2458	376	2228	206	1574	130	668
ADCY6	3334	3986	6362	1752	3810	2580	6016	7043	6806	4753	5036	7016	5135	2330
ADCY7	2079	1182	2406	581	1372	686	542	2388	1148	1175	4537	1251	4010	1224
ADCY8	424	0	0	0	6	0	2	0	0	0	0	0	0	0
ADCY9	408	1207	1939	1316	429	3997	2484	6535	7501	4713	2184	3046	3747	5103
ADCYAP1R1	9	1	7	5	52	4	16	7	2	15	6	17	18	1
ADCYAP1	16	14	12	3	6274	101	17	42	120	202	28	2	116	192
ADC	373	311	719	282	398	481	113	614	601	658	1163	522	1244	280
ADD1	10455	13045	15683	13332	9222	11791	15498	13659	14183	18493	18640	20610	14136	18542
ADD2	3809	297	34	2634	5671	39	25	89	52	83	44	157	87	48
ADD3	3167	5127	4750	2711	4618	2143	4210	4674	2004	8420	6475	3241	6089	2323
ADH1A	13	5	2	1	0	26	10	0	6	4	0	27	8	70
ADH1B	1458	469	28	248	2	2801	1467	58	629	315	7	3525	416	10528
ADH1C	32	35	40	0	30	92	36	6	7	52	8	13	4	181
ADH4	1	0	0	1	0	1	0	0	1	0	0	3	0	5
